STARNDARD	z
769	3.978174603
770	3.969428008
771	3.9743083
772	3.9743083
773	3.973346496
774	3.969428008
775	3.96933729
776	3.970326409
777	3.969306931
778	3.970355731
779	3.96933729
780	3.972277228
781	3.964461994
782	3.96531219
783	3.962338949
784	3.96333003
785	3.962338949
786	3.964143426
787	3.959325397
788	3.960238569
789	3.964179104
790	3.954410307
791	3.959040959
792	3.956087824
793	3.952143569
794	3.946481665
795	3.946481665
796	3.937747036
797	3.948463826
798	3.956349206
799	3.953465347
800	3.957467854
801	3.965277778
802	3.960356789
803	3.960435213
804	3.962338949
805	3.957425743
806	3.958415842
807	3.956478734
808	3.958374628
809	3.962338949
810	3.962338949
811	3.952662722
812	3.96031746
813	3.968190855
814	3.966269841
815	3.962264151
816	3.964214712
817	3.954455446
818	3.958333333
819	3.953557312
820	3.957509881
821	3.96039604
822	3.961386139
823	3.96531219
824	3.975198413
825	3.972222222
826	3.968222443
827	3.964391691
828	3.969184891
829	3.962301587
830	3.958415842
831	3.955401388
832	3.955401388
833	3.956392468
834	3.949704142
835	3.950690335
836	3.955665025
837	3.958579882
838	3.958498024
839	3.951771654
840	3.952522255
841	3.951771654
842	3.954635108
843	3.95952616
844	3.951771654
845	3.955621302
846	3.956564659
847	3.957551826
848	3.957635468
849	3.95270936
850	3.950787402
851	3.952755906
852	3.954635108
853	3.956564659
854	3.951724138
855	3.95952616
856	3.957635468
857	3.955665025
858	3.957677165
859	3.956650246
860	3.955665025
861	3.954724409
862	3.956650246
863	3.952615992
864	3.94679803
865	3.948667325
866	3.950738916
867	3.955577493
868	3.956478734
869	3.956564659
870	3.961500494
871	3.958498024
872	3.959365709
873	3.955577493
874	3.954545455
875	3.959365709
876	3.954545455
877	3.958456973
878	3.960356789
879	3.957383548
880	3.95256917
881	3.951581028
882	3.947731755
883	3.955533597
884	3.957551826
885	3.949753695
886	3.954500495
887	3.949604743
888	3.950592885
889	3.953511375
890	3.955489614
891	3.959486166
892	3.96039604
893	3.965346535
894	3.969276511
895	3.964391691
896	3.968285431
897	3.967229394
898	3.966303271
899	3.959446093
900	3.957509881
901	3.962301587
902	3.972111554
903	3.96531219
904	3.967261905
905	3.967294351
906	3.967326733
907	3.964285714
908	3.962338949
909	3.964356436
910	3.966336634
911	3.958333333
912	3.958415842
913	3.961386139
914	3.955533597
915	3.955533597
916	3.953511375
917	3.956435644
918	3.960356789
919	3.955577493
920	3.963293651
921	3.960356789
922	3.96031746
923	3.961271102
924	3.96432111
925	3.964391691
926	3.961386139
927	3.960199005
928	3.960238569
929	3.954410307
930	3.959325397
931	3.955445545
932	3.963220676
933	3.965174129
934	3.9632572
935	3.965243297
936	3.960356789
937	3.958374628
938	3.967164179
939	3.96318408
940	3.95920398
941	3.958374628
942	3.961271102
943	3.956435644
944	3.957383548
945	3.954500495
946	3.952615992
947	3.952522255
948	3.955533597
949	3.955533597
950	3.96333003
951	3.964250248
952	3.961347869
953	3.962376238
954	3.958456973
955	3.956521739
956	3.950738916
957	3.964250248
958	3.955489614
959	3.961271102
960	3.961309524
961	3.967229394
962	3.96541502
963	3.956564659
964	3.958374628
965	3.958456973
966	3.96039604
967	3.953648915
968	3.959486166
969	3.966336634
970	3.961462451
971	3.958579882
972	3.956521739
973	3.955577493
974	3.958498024
975	3.957509881
976	3.961424332
977	3.961347869
978	3.96333003
979	3.964356436
980	3.964356436
981	3.967326733
982	3.967294351
983	3.962450593
984	3.96541502
985	3.963366337
986	3.960474308
987	3.96031746
988	3.958374628
989	3.956478734
990	3.957425743
991	3.963293651
992	3.962264151
993	3.959446093
994	3.961347869
995	3.962301587
996	3.960435213
997	3.962376238
998	3.96333003
999	3.968316832
1000	3.96735905
1001	3.965380811
1002	3.957593688
1003	3.958579882
1004	3.960356789
1005	3.949704142
1006	3.956521739
1007	3.951628825
1008	3.955577493
1009	3.943842365
1010	3.948514851
1011	3.952475248
1012	3.960159363
1013	3.964107677
1014	3.958250497
1015	3.95049505
1016	3.957298908
1017	3.951437066
1018	3.948412698
1019	3.949354518
1020	3.951097804
1021	3.956131605
1022	3.953280318
1023	3.952286282
1024	3.957256461
1025	3.945544554
1026	3.948463826
1027	3.952286282
1028	3.952286282
1029	3.954183267
1030	3.954183267
1031	3.963
1032	3.961
1033	3.945328032
1034	3.955867603
1035	3.954954955
1036	3.95114656
1037	3.949304175
1038	3.95721393
1039	3.957171315
1040	3.952333664
1041	3.953419227
1042	3.954365079
1043	3.959285005
1044	3.955357143
1045	3.952286282
1046	3.951533136
1047	3.956392468
1048	3.953557312
1049	3.956521739
1050	3.953511375
1051	3.951724138
1052	3.943786982
1053	3.947628458
1054	3.943508424
1055	3.951243781
1056	3.952191235
1057	3.953326713
1058	3.948463826
1059	3.943564356
1060	3.9375
1061	3.944278607
1062	3.947368421
1063	3.953187251
1064	3.947472745
1065	3.952428147
1066	3.955445545
1067	3.954500495
1068	3.953419227
1069	3.945652174
1070	3.943731491
1071	3.944664032
1072	3.939663699
1073	3.95049505
1074	3.948463826
1075	3.952380952
1076	3.958291956
1077	3.958374628
1078	3.959405941
1079	3.968222443
1080	3.957425743
1081	3.949604743
1082	3.949654492
1083	3.953557312
1084	3.948768473
1085	3.947783251
1086	3.945652174
1087	3.950592885
1088	3.958456973
1089	3.958456973
1090	3.956564659
1091	3.957467854
1092	3.955533597
1093	3.950592885
1094	3.955533597
1095	3.956564659
1096	3.957551826
1097	3.960435213
1098	3.959446093
1099	3.959486166
1100	3.958456973
1101	3.961309524
1102	3.964391691
1103	3.962413452
1104	3.960474308
1105	3.967391304
1106	3.966403162
1107	3.963474827
1108	3.966403162
1109	3.966436328
1110	3.967423495
1111	3.967391304
1112	3.966403162
1113	3.963438735
1114	3.951724138
1115	3.947731755
1116	3.954500495
1117	3.953603159
1118	3.955577493
1119	3.956650246
1120	3.960474308
1121	3.959566075
1122	3.954679803
1123	3.962450593
1124	3.961500494
1125	3.958579882
1126	3.961462451
1127	3.954635108
1128	3.957467854
1129	3.955445545
1130	3.954500495
1131	3.954410307
1132	3.959325397
1133	3.956435644
1134	3.947628458
1135	3.954365079
1136	3.951388889
1137	3.953326713
1138	3.955357143
1139	3.952428147
1140	3.946692991
1141	3.956305859
1142	3.960238569
1143	3.960238569
1144	3.957383548
1145	3.954410307
1146	3.952475248
1147	3.953419227
1148	3.948667325
1149	3.954410307
1150	3.952428147
1151	3.953373016
1152	3.946534653
1153	3.940711462
1154	3.945652174
1155	3.953419227
1156	3.958291956
1157	3.954319762
1158	3.947628458
1159	3.95049505
1160	3.955445545
1161	3.946850394
1162	3.944062807
1163	3.953648915
1164	3.953648915
1165	3.956607495
1166	3.959566075
1167	3.963402572
1168	3.958538993
1169	3.955577493
1170	3.95952616
1171	3.957635468
1172	3.955621302
1173	3.955665025
1174	3.957551826
1175	3.955621302
1176	3.951724138
1177	3.948818898
1178	3.954590326
1179	3.958498024
1180	3.950641658
1181	3.951676529
1182	3.953694581
1183	3.955665025
1184	3.956650246
1185	3.95280236
1186	3.957635468
1187	3.957551826
1188	3.957593688
1189	3.956692913
1190	3.960591133
1191	3.957635468
1192	3.95952616
1193	3.95280236
1194	3.954724409
1195	3.960513327
1196	3.961538462
1197	3.963510848
1198	3.961576355
1199	3.963510848
1200	3.963510848
1201	3.959566075
1202	3.94488189
1203	3.946640316
1204	3.944609298
1205	3.939782823
1206	3.95049505
1207	3.949654492
1208	3.953603159
1209	3.955621302
1210	3.956564659
1211	3.948818898
1212	3.947783251
1213	3.95734127
1214	3.954545455
1215	3.950544016
1216	3.952522255
1217	3.95256917
1218	3.945759369
1219	3.950544016
1220	3.948616601
1221	3.946640316
1222	3.946692991
1223	3.951533136
1224	3.950690335
1225	3.957425743
1226	3.960278054
1227	3.956478734
1228	3.960278054
1229	3.953511375
1230	3.954455446
1231	3.959244533
1232	3.959325397
1233	3.950544016
1234	3.951437066
1235	3.948514851
1236	3.947420635
1237	3.945436508
1238	3.955223881
1239	3.957298908
1240	3.956478734
1241	3.951581028
1242	3.955445545
1243	3.94950495
1244	3.950544016
1245	3.948565776
1246	3.945652174
1247	3.941699605
1248	3.939484127
1249	3.941468254
1250	3.940357853
1251	3.946375372
1252	3.942403178
1253	3.939363817
1254	3.948207171
1255	3.942517344
1256	3.947420635
1257	3.947420635
1258	3.950248756
1259	3.946322068
1260	3.94836147
1261	3.950248756
1262	3.943283582
1263	3.934393638
1264	3.942115768
1265	3.934458788
1266	3.943283582
1267	3.937561943
1268	3.935579782
1269	3.931615461
1270	3.932472691
1271	3.942231076
1272	3.941410129
1273	3.946107784
1274	3.938308458
1275	3.953
1276	3.946375372
1277	3.947472745
1278	3.946587537
1279	3.947524752
1280	3.94950495
1281	3.953373016
1282	3.948514851
1283	3.947576657
1284	3.954365079
1285	3.952522255
1286	3.950544016
1287	3.949604743
1288	3.956478734
1289	3.959405941
1290	3.951581028
1291	3.945705824
1292	3.949704142
1293	3.956521739
1294	3.955533597
1295	3.954590326
1296	3.957551826
1297	3.958498024
1298	3.951724138
1299	3.94980315
1300	3.946850394
1301	3.951628825
1302	3.949753695
1303	3.952615992
1304	3.946692991
1305	3.952522255
1306	3.947628458
1307	3.942574257
1308	3.93867458
1309	3.944554455
1310	3.948463826
1311	3.951437066
1312	3.958208955
1313	3.960199005
1314	3.961271102
1315	3.958250497
1316	3.961271102
1317	3.958333333
1318	3.958250497
1319	3.957425743
1320	3.950544016
1321	3.948565776
1322	3.945598417
1323	3.950347567
1324	3.951243781
1325	3.952238806
1326	3.946161515
1327	3.944278607
1328	3.950950951
1329	3.953140578
1330	3.946322068
1331	3.943227092
1332	3.943113772
1333	3.945837513
1334	3.956087824
1335	3.947420635
1336	3.947420635
1337	3.953280318
1338	3.954274354
1339	3.957128614
1340	3.951292247
1341	3.953140578
1342	3.956218905
1343	3.962151394
1344	3.956392468
1345	3.954365079
1346	3.95721393
1347	3.958208955
1348	3.953280318
1349	3.941468254
1350	3.945382324
1351	3.94047619
1352	3.940594059
1353	3.948207171
1354	3.941410129
1355	3.952095808
1356	3.951048951
1357	3.94333996
1358	3.9500998
1359	3.954183267
1360	3.954319762
1361	3.957256461
1362	3.95531281
1363	3.946375372
1364	3.95508982
1365	3.941871921
1366	3.934846989
1367	3.940711462
1368	3.943564356
1369	3.947524752
1370	3.950199203
1371	3.954091816
1372	3.958167331
1373	3.956131605
1374	3.951388889
1375	3.949253731
1376	3.953093812
1377	3.946268657
1378	3.946375372
1379	3.948155533
1380	3.949203187
1381	3.954183267
1382	3.942345924
1383	3.936191426
1384	3.942231076
1385	3.93625498
1386	3.940179462
1387	3.946893788
1388	3.949748744
1389	3.942
1390	3.942057942
1391	3.935579782
1392	3.940239044
1393	3.938308458
1394	3.937561943
1395	3.941468254
1396	3.939363817
1397	3.939243028
1398	3.936507937
1399	3.933728981
1400	3.938553023
1401	3.939363817
1402	3.945054945
1403	3.939363817
1404	3.948310139
1405	3.94217348
1406	3.947368421
1407	3.950396825
1408	3.950445986
1409	3.941699605
1410	3.952428147
1411	3.946587537
1412	3.95531281
1413	3.954410307
1414	3.951437066
1415	3.957298908
1416	3.957298908
1417	3.955357143
1418	3.957298908
1419	3.956349206
1420	3.952428147
1421	3.955489614
1422	3.958415842
1423	3.957383548
1424	3.952615992
1425	3.950445986
1426	3.949554896
1427	3.956435644
1428	3.955445545
1429	3.956435644
1430	3.954365079
1431	3.957298908
1432	3.961232604
1433	3.958415842
1434	3.953557312
1435	3.949654492
1436	3.95734127
1437	3.959285005
1438	3.945544554
1439	3.946322068
1440	3.949203187
1441	3.946268657
1442	3.943396226
1443	3.942345924
1444	3.936507937
1445	3.936444886
1446	3.938247012
1447	3.939121756
1448	3.93993994
1449	3.929353234
1450	3.940179462
1451	3.940179462
1452	3.945164506
1453	3.937313433
1454	3.944111776
1455	3.944333996
1456	3.9500998
1457	3.944223108
1458	3.938492063
1459	3.93960396
1460	3.943227092
1461	3.942460317
1462	3.947420635
1463	3.947368421
1464	3.942345924
1465	3.939544103
1466	3.931952663
1467	3.93011811
1468	3.93972332
1469	3.944554455
1470	3.93867458
1471	3.942517344
1472	3.941468254
1473	3.940594059
1474	3.943564356
1475	3.943564356
1476	3.940652819
1477	3.943508424
1478	3.945544554
1479	3.940594059
1480	3.943620178
1481	3.931818182
1482	3.941410129
1483	3.942574257
1484	3.945598417
1485	3.946481665
1486	3.949404762
1487	3.947472745
1488	3.943564356
1489	3.942631058
1490	3.952380952
1491	3.945544554
1492	3.943731491
1493	3.943675889
1494	3.949654492
1495	3.955401388
1496	3.954410307
1497	3.956478734
1498	3.951533136
1499	3.956435644
1500	3.948717949
1501	3.955533597
1502	3.951628825
1503	3.950544016
1504	3.952522255
1505	3.95256917
1506	3.947628458
1507	3.944773176
1508	3.938795656
1509	3.939663699
1510	3.948463826
1511	3.942517344
1512	3.945490585
1513	3.951388889
1514	3.958167331
1515	3.95920398
1516	3.953187251
1517	3.953326713
1518	3.956305859
1519	3.952380952
1520	3.945652174
1521	3.949604743
1522	3.956478734
1523	3.958333333
1524	3.962264151
1525	3.961271102
1526	3.963366337
1527	3.965277778
1528	3.961424332
1529	3.957509881
1530	3.957467854
1531	3.956392468
1532	3.953465347
1533	3.958456973
1534	3.96531219
1535	3.964356436
1536	3.96531219
1537	3.965277778
1538	3.962376238
1539	3.962376238
1540	3.959405941
1541	3.961347869
1542	3.957467854
1543	3.954724409
1544	3.963438735
1545	3.957593688
1546	3.957551826
1547	3.952848723
1548	3.948869223
1549	3.939156035
1550	3.937992126
1551	3.942631058
1552	3.932806324
1553	3.933794466
1554	3.945490585
1555	3.950445986
1556	3.939663699
1557	3.947472745
1558	3.941526264
1559	3.941641939
1560	3.947524752
1561	3.952333664
1562	3.953280318
1563	3.95721393
1564	3.953187251
1565	3.951437066
1566	3.959285005
1567	3.946481665
1568	3.937747036
1569	3.951340616
1570	3.943508424
1571	3.937375746
1572	3.940179462
1573	3.938185444
1574	3.94123506
1575	3.942288557
1576	3.944278607
1577	3.950199203
1578	3.944444444
1579	3.944389275
1580	3.951097804
1581	3.942403178
1582	3.94333996
1583	3.943283582
1584	3.951243781
1585	3.945328032
1586	3.945490585
1587	3.943508424
1588	3.938735178
1589	3.948412698
1590	3.950347567
1591	3.949454906
1592	3.944609298
1593	3.946534653
1594	3.945436508
1595	3.951340616
1596	3.949554896
1597	3.952428147
1598	3.946534653
1599	3.948463826
1600	3.953511375
1601	3.949654492
1602	3.951581028
1603	3.954455446
1604	3.949604743
1605	3.945759369
1606	3.947576657
1607	3.945759369
1608	3.951628825
1609	3.956521739
1610	3.955621302
1611	3.958498024
1612	3.958456973
1613	3.952615992
1614	3.952662722
1615	3.949704142
1616	3.948616601
1617	3.949753695
1618	3.953694581
1619	3.956607495
1620	3.956521739
1621	3.957467854
1622	3.954545455
1623	3.951581028
1624	3.951581028
1625	3.952522255
1626	3.948768473
1627	3.950690335
1628	3.955621302
1629	3.964426877
1630	3.957593688
1631	3.957593688
1632	3.954500495
1633	3.950690335
1634	3.952615992
1635	3.956478734
1636	3.952475248
1637	3.955401388
